codigo,nombre,puntaje,org_clave,organismo,region,monto,fecha_cierre,fecha_publicacion,url
2446-279-LE26,ESTUDIO ELABORACIÓN PIIMEP,20,True,I MUNICIPALIDAD DE COQUIMBO,Región de Coquimbo ,,2026-10-06T15:30,2026-09-23,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2446-279-LE26
520663-35-LS10,ACTUALIZACIÓN DEL PLAN DE TRANSPORTE DEL GRAN CONCEPCIÓN,13,True,SUBSECRETARIA DE SERVICIOS SOCIALES,Región Metropolitana de Santiago,180.000.000 CLP,,2010-12-29,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=520663-35-LS10
619284-8-LE26,Adquisición de suscripción de licencias Aimsun Nex,12,True,SUBSECRETARIA DE TRANSPORTES,Región Metropolitana de Santiago,14.000 USD,2026-09-28T15:00,2026-09-10,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=619284-8-LE26
660-13-LE26,ANÁLISIS PLAN REGULADOR COMUNAL DE LONCOCHE,11,True,SUBSECRETARIA DEL MINISTERIO DE LA VIVIENDA Y URBANISMO,Región de la Araucanía ,45.000.000 CLP,2026-10-05T15:10,2026-09-15,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=660-13-LE26
926-13-LE26,Producción Ceremonia de reconocimiento conductores,9,True,SUBSECRETARIA DE TRANSPORTES,Región Metropolitana de Santiago,30.000.000 CLP,2026-09-23T15:01,2026-09-02,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=926-13-LE26
926-11-LP26,Análisis y Modelación del Sistema de Transporte,9,True,SUBSECRETARIA DE TRANSPORTES,Región Metropolitana de Santiago,300.000.000 CLP,2026-09-29T15:01,2026-08-26,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=926-11-LP26
2667-78-LR26,ACTUALIZACIÓN PLAN REGULADOR COMUNAL COMUNA DE VITACURA,9,False,I MUNICIPALIDAD DE VITACURA,Región Metropolitana de Santiago,550.000.000 CLP,2026-10-13T15:01,2026-08-28,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2667-78-LR26
613-8-LR26,PLAN REGULADOR COMUNAL DE COYHAIQUE,8,True,SUBSECRETARIA DEL MINISTERIO DE LA VIVIENDA Y URBANISMO,Región Aysén del General Carlos Ibáñez del Campo,365.000.000 CLP,2026-10-01T15:00,2026-08-31,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=613-8-LR26
926-12-LR26,MEJORA Y CONSERVACIÓN INTEGRAL DE LA INFRAEST. PP,7,True,SUBSECRETARIA DE TRANSPORTES,Región Metropolitana de Santiago,,2026-10-01T15:00,2026-08-31,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=926-12-LR26
5895-24-O126,E.I. Normalizacion Seguridad Vial Varios Cruces,7,True,MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,Región de Los Ríos,,2026-10-15T08:00,2026-09-11,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=5895-24-O126
5048-24-O126,EST BASICO AUSCULTACION PAV RURALES,7,True,MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,Región Metropolitana de Santiago,,2026-11-05T11:30,2026-07-27,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=5048-24-O126
2216-21-O126,ESTUDIO INTEGRAL CONCESIÓN CONEXIÓN PUENTE INDUSTRIAL - RUTA INTERPORTUARIA,7,True,MOP Dirección General de Concesiones,Región del Biobío ,,2026-11-19T15:00,2026-08-25,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2216-21-O126
2387-79-LE26,Actualización PLADECO Pucón 2027-2031,4,False,I MUNICIPALIDAD DE PUCON,Región de la Araucanía ,18.000.000 CLP,2026-09-29T14:00,2026-09-14,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2387-79-LE26
5895-21-O126,E.I. Reposicion Puentes Cuyaima y Cano Rodríguez,4,True,MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,Región de Los Ríos,,2026-10-02T08:00,2026-08-21,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=5895-21-O126
3847-41-LE26,DISEÑO PLAN MAESTRO PARQUE URBANO BAQUEDANO,4,False,I MUNICIPALIDAD DE SIERRA GORDA,Región de Antofagasta ,70.000.000 CLP,2026-10-02T10:05,2026-09-09,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=3847-41-LE26
2216-22-O126,CONSULTORÍA AMBIENTAL ESTRATÉGICA PARA LA ELABORACIÓN DEL ESTUDIO DE IMPACT,4,True,MOP Dirección General de Concesiones,Región de Coquimbo ,,2026-10-02T15:00,2026-08-07,https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2216-22-O126
